date,do i have covid,isPartial,State
2020-04-30,0,False,CO
2020-05-01,0,False,CO
2020-05-02,0,False,CO
2020-05-03,28,False,CO
2020-05-04,0,False,CO
2020-05-05,22,False,CO
2020-05-06,24,False,CO
2020-05-07,0,False,CO
2020-05-08,0,False,CO
2020-05-09,0,False,CO
2020-05-10,30,False,CO
2020-05-11,0,False,CO
2020-05-12,24,False,CO
2020-05-13,0,False,CO
2020-05-14,0,False,CO
2020-05-15,24,False,CO
2020-05-16,0,False,CO
2020-05-17,0,False,CO
2020-05-18,0,False,CO
2020-05-19,0,False,CO
2020-05-20,25,False,CO
2020-05-21,0,False,CO
2020-05-22,0,False,CO
2020-05-23,0,False,CO
2020-05-24,0,False,CO
2020-05-25,0,False,CO
2020-05-26,0,False,CO
2020-05-27,50,False,CO
2020-05-28,0,False,CO
2020-05-29,0,False,CO
2020-05-30,0,False,CO
2020-05-31,0,False,CO
2020-06-01,0,False,CO
2020-06-02,0,False,CO
2020-06-03,0,False,CO
2020-06-04,0,False,CO
2020-06-05,0,False,CO
2020-06-06,0,False,CO
2020-06-07,0,False,CO
2020-06-08,0,False,CO
2020-06-09,0,False,CO
2020-06-10,0,False,CO
2020-06-11,0,False,CO
2020-06-12,27,False,CO
2020-06-13,0,False,CO
2020-06-14,0,False,CO
2020-06-15,25,False,CO
2020-06-16,24,False,CO
2020-06-17,0,False,CO
2020-06-18,0,False,CO
2020-06-19,51,False,CO
2020-06-20,0,False,CO
2020-06-21,30,False,CO
2020-06-22,0,False,CO
2020-06-23,26,False,CO
2020-06-24,0,False,CO
2020-06-25,38,False,CO
2020-06-26,26,False,CO
2020-06-27,0,False,CO
2020-06-28,29,False,CO
2020-06-29,25,False,CO
2020-06-30,26,False,CO
2020-07-01,0,False,CO
2020-07-02,0,False,CO
2020-07-03,58,False,CO
2020-07-04,31,False,CO
2020-07-05,48,False,CO
2020-07-06,26,False,CO
2020-07-07,26,False,CO
2020-07-08,26,False,CO
2020-07-09,0,False,CO
2020-07-10,0,False,CO
2020-07-11,0,False,CO
2020-07-12,0,False,CO
2020-07-13,26,False,CO
2020-07-14,38,False,CO
2020-07-15,26,False,CO
2020-07-16,26,False,CO
2020-07-17,27,False,CO
2020-07-18,45,False,CO
2020-07-19,30,False,CO
2020-07-20,26,False,CO
2020-07-21,26,False,CO
2020-07-22,0,False,CO
2020-07-23,76,False,CO
2020-07-24,26,False,CO
2020-07-25,0,False,CO
2020-07-26,30,False,CO
2020-07-27,0,False,CO
2020-07-28,77,False,CO
2020-07-29,0,False,CO
2020-07-30,26,False,CO
2020-07-31,0,False,CO
2020-08-01,30,False,CO
2020-08-02,30,False,CO
2020-08-03,39,False,CO
2020-08-04,26,False,CO
2020-08-05,0,False,CO
2020-08-06,26,False,CO
2020-08-07,27,False,CO
2020-08-08,0,False,CO
2020-08-09,0,False,CO
2020-08-10,0,False,CO
2020-08-11,26,False,CO
2020-08-12,0,False,CO
2020-08-13,25,False,CO
2020-08-14,26,False,CO
2020-08-15,30,False,CO
2020-08-16,0,False,CO
2020-08-17,26,False,CO
2020-08-18,25,False,CO
2020-08-19,51,False,CO
2020-08-20,0,False,CO
2020-08-21,0,False,CO
2020-08-22,30,False,CO
2020-08-23,0,False,CO
2020-08-24,24,False,CO
2020-08-25,0,False,CO
2020-08-26,0,False,CO
2020-08-27,24,False,CO
2020-08-28,25,False,CO
2020-08-29,29,False,CO
2020-08-30,30,False,CO
2020-08-31,24,False,CO
2020-09-01,0,False,CO
2020-09-02,0,False,CO
2020-09-03,24,False,CO
2020-09-04,0,False,CO
2020-09-05,30,False,CO
2020-09-06,0,False,CO
2020-09-07,0,False,CO
2020-09-08,23,False,CO
2020-09-09,0,False,CO
2020-09-10,24,False,CO
2020-09-11,100,False,CO
2020-09-12,0,False,CO
2020-09-13,0,False,CO
2020-09-14,0,False,CO
